instructor,idx,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
"(ENSMINGER) O'BRIEN,ANN R",0,,,,,,,,,,
"AARON,JESSI ELANA",1,,,,,,,,,,
"AARON,TIFFANY S",2,,,,,,,,,,
"AASHEIM,CHERYL LYNN",3,4.068323,4.114907,4.13354,4.13354,4.18125,4.3875,4.4125,4.5125,4.31875,4.621875
"ABAIR,ALEXANDER LEE",4,3.946237,3.946237,3.849462,3.924731,4.282609,4.228261,4.619565,4.608696,4.423913,4.586957
"ABAROA HURTADO,EDUARDO",5,4.666667,4.5,4.666667,4.666667,4.666667,4.5,4.833333,4.333333,4.5,5
"ABBITT III,JOHN D",6,3.883019,3.928302,3.456604,4.011321,3.350943,3.498113,3.796226,3.984906,3.626415,4.196226
"ABBITT,PATRICIA L",7,4.261905,4.142857,4.130952,4.107143,4.231884,4.173913,4.275362,4.188406,4.26087,4.275362
"ABD-ELRAHMAN,AMR H",8,4.294278,4.26158,3.934605,4.305177,4.191257,4.371585,4.404372,4.584699,4.166667,4.472678
"ABDELMONEM,MOSTAFA",9,4.461538,4.384615,4.769231,4.692308,4.692308,4.846154,4.923077,4.923077,4.846154,4.923077
"ABDULHAMEED,NADER",10,4.479167,4.3125,4.3125,4.354167,4.425532,4.446809,4.574468,4.361702,4.510638,4.659574
"ABEDI,HESAM",11,3.469388,3.469388,3.244898,3.77551,3.25,3.354167,3.520833,3.75,3.583333,3.5625
"ABELLA FERNANDEZ,TANIA",12,4.846154,4.769231,4.846154,4.769231,5,5,5,5,5,5
"ABELY,PATRICIA K",13,4.521739,4.26087,4.347826,4.304348,4.565217,4.434783,4.608696,4.608696,4.652174,4.652174
"ABERNATHY,CAMMY",14,4.5625,4.4375,4.625,4.46875,4.75,4.4375,4.75,4.59375,4.59375,4.59375
"ABIL,ZHANAR",15,3.946667,3.973333,3.72,4.066667,3.613333,3.68,4.106667,4.306667,3.706667,4.32
"ABISAMBRA,JOSE FRANCISCO",16,4.152542,3.915254,4.033898,4.101695,4.206897,4.137931,4.206897,4.206897,4.275862,4.293103
"ABOLVERDI,ZACHARY A",17,4.69697,4.757576,4.666667,4.727273,4.757576,4.545455,4.909091,4.454545,4.757576,4.909091
"ABOUJAOUDE JR,ROCK ADEL",18,3.981481,3.888889,3.87037,3.962963,3.744186,3.883721,4.27907,4.209302,3.767442,4.581395
"ABRACZINSKAS,MICHELLE",19,4.426471,4.529412,4.522059,4.441176,4.70229,4.717557,4.740458,4.78626,4.687023,4.694656
"ABRAMOWITZ,BRIAN",20,4.714286,4.642857,4.214286,4.357143,4.642857,4.714286,4.857143,4.928571,4.571429,4.714286
"ABRAMSON,MATTHEW DANIEL",21,4.939394,4.878788,4.909091,4.878788,4.878788,4.878788,4.909091,4.878788,4.848485,4.939394
"ABRANCHES,JACQUELINE",22,4.425926,4.333333,4.277778,4.425926,4.660377,4.641509,4.679245,4.716981,4.660377,4.754717
"ABREU,ROBERTO L",23,4.5,4.558824,4.588235,4.588235,4.617647,4.558824,4.823529,4.823529,4.617647,4.852941
"ABU ARQUB,SARAH H",24,4.324324,4.216216,4.391892,4.337838,4.297297,4.324324,4.378378,4.391892,4.324324,4.77027
"ABUFAUR,BELKIS",25,4.357401,4.3213,3.924188,4.368231,4.347826,4.476364,4.561594,4.630435,4.429091,4.561594
"ABUKHALAF,AMER HAMAD ISSA",26,3.8125,3.875,3.958333,4.020833,3.595745,3.553191,4.042553,4.021277,4.12766,4.12766
"ACEVEDO-CHARRY,ORLANDO",27,4.64,4.64,4.52,4.52,4.72,4.44,4.84,4.6,4.48,4.92
"ACEVEDO,DAVID LEONARDO",28,4.4,4.4,4.6,4.4,4.4,4.4,4.2,4.6,4.8,5
"ACEVEDO,GABRIELA",29,4.418103,4.241379,3.991379,4.37069,4.629956,4.687225,4.735683,4.77533,4.629956,4.784141
"ACEVEDO,MIGUEL A",30,4.758333,4.758333,4.775,4.683333,4.8,4.686441,4.891667,4.783333,4.833333,4.933333
"ACOSTA GANDUR,DANIEL EDUARDO",31,4.44878,4.42439,4.292683,4.395122,4.585366,4.712195,4.741463,4.790244,4.609756,4.770732
"ACOSTA,LAURA JANE",32,4.56167,4.512334,4.533207,4.504744,4.709865,4.727273,4.83559,4.791103,4.820116,4.883946
"ADAMS-MITCHELL,CANDICE JAMIA",33,4.322581,4.200717,4.154122,4.379928,4.166052,4.177122,4.376384,4.247232,4.287823,4.571956
"ADAMS,ABRAHAM",34,4.555556,4.466667,4.733333,4.377778,4.75,4.840909,4.931818,4.681818,4.681818,4.886364
