course_code,course_name,combined,idx,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
ABE2012C,Introduction to Biological Engineering,"ABE2012C,Introduction to Biological Engineering",0,,,,,,,,,,
ABE3000C,Applications in Biological Engineering,"ABE3000C,Applications in Biological Engineering",1,,,,,,,,,,
ABE3212C,Land and Water Resources Engineering,"ABE3212C,Land and Water Resources Engineering",2,3.527778,3.638889,3.694444,3.583333,3.194444,3.416667,3.555556,3.861111,2.888889,4.666667
ABE3612C,Heat and Mass Transfer in Biological Systems,"ABE3612C,Heat and Mass Transfer in Biological Systems",3,4.589744,4.641026,4.717949,4.512821,4.794872,4.564103,4.692308,4.74359,4.538462,4.923077
ABE3652C,Physical and Rheological Properties of Biological Materials,"ABE3652C,Physical and Rheological Properties of Biological Materials",4,4.52,4.52,4.68,4.44,4.84,4.72,4.68,4.84,4.72,4.8
ABE4033,Fundamentals and Applications of Biosensors,"ABE4033,Fundamentals and Applications of Biosensors",5,4.4375,4.5,4.625,4.625,4.625,4.5,4.9375,4.5,4.25,5
ABE4042C,Biological Engineering Design 1,"ABE4042C,Biological Engineering Design 1",6,4.290323,4.193548,4.483871,3.709677,4.032258,3.790323,4.354839,3.870968,4.080645,4.483871
ABE4043C,Biological Engineering Design 2,"ABE4043C,Biological Engineering Design 2",7,4.533333,4.4,4.6,4.033333,4.366667,4.4,4.766667,4.466667,4.5,4.966667
ABE4171,Power and Machines for Biological Systems,"ABE4171,Power and Machines for Biological Systems",8,3.636364,3.681818,3.409091,3.909091,2.727273,3.636364,3.636364,4.045455,3.045455,3.772727
ABE4231C,Irrigation and Drainage Engineering,"ABE4231C,Irrigation and Drainage Engineering",9,5,5,5,5,5,5,5,5,5,5
ABE4320,Controlled Environment Agriculture Systems Design,"ABE4320,Controlled Environment Agriculture Systems Design",10,5,5,5,5,5,5,5,5,5,5
ABE4413C,Post-Harvest Operations Engineering,"ABE4413C,Post-Harvest Operations Engineering",11,4.666667,4.75,4.75,4.583333,4.916667,4.916667,4.916667,5,4.833333,5
ABE4655C,Bio-Based Products from Renewable Resources,"ABE4655C,Bio-Based Products from Renewable Resources",12,2.538462,2.692308,1.923077,3.153846,2.692308,2.384615,2.461538,2.538462,2.538462,2.615385
ABE4662,Quantification of Biological Processes,"ABE4662,Quantification of Biological Processes",13,4.769231,4.461538,4.846154,4.461538,4.538462,4.615385,4.923077,4.769231,4.461538,4.923077
ABE4932,Special Topics,"ABE4932,Special Topics",14,4.710526,4.657895,4.710526,4.578947,4.815789,4.736842,4.842105,4.684211,4.763158,4.921053
ABE4935,Writing Grant Proposals for Scholarships and Fellowships,"ABE4935,Writing Grant Proposals for Scholarships and Fellowships",15,5,5,5,5,5,5,5,5,5,5
ABE5009,Control Methods in SmartAg Systems,"ABE5009,Control Methods in SmartAg Systems",16,4.75,4.75,4.75,4.75,5,4.75,4.5,4.75,4.75,4.75
